id,event_type,event_cause,latitude,longitude,address,zone,junction,corridor,priority,start_datetime,status,impact_score,closure_prob,predicted_duration_hrs,alert_level,manpower,barricades,diversion_routes,patrol_freq_min,action_notes
FKID000000,unplanned,vehicle_breakdown,13.0400041,77.5180991,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",,,Tumkur Road,High,2024-03-07 17:01:48.111+00,closed,0.6064206813877305,0.105874866,0.6204934069399657,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000001,unplanned,vehicle_breakdown,12.9218755,77.6451585,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",,,ORR East 1,High,2024-01-30 04:07:24.173+00,resolved,2.0600597601852373,0.521468,0.5669660893028916,LOW,2,13,0,60,🚧 Pre-position barricades at both ends of affected corridor.
FKID000002,unplanned,others,12.955622,77.5857083,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",Central Zone 2,UrvashiJunction,Non-corridor,Low,2023-11-11 06:18:03.343+00,closed,0.8316711601181084,0.19935934,5.080767952619585,LOW,2,0,0,60,🕐 Plan for sustained deployment (~5.1 hrs). Schedule shift rotation.
FKID000003,unplanned,tree_fall,13.0061469,77.5794348,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",,,Non-corridor,Low,2024-03-07 17:56:55.061+00,closed,3.7217733622946,0.94235706,24.201350901000026,MEDIUM,10,23,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~24.2 hrs). Schedule shift rotation.
FKID000004,unplanned,vehicle_breakdown,12.95398,77.5852333,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",,LalbaghMainGateJunc,Non-corridor,Low,2024-01-30 04:56:32.348+00,closed,0.6673792013833362,0.17435087,0.6943508404177545,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000005,unplanned,accident,13.0664854,77.5998755,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",North Zone 1,,Non-corridor,Low,2023-11-28 03:07:27.292421+00,closed,0.06009933271739295,0.0124436105,0.94552546383847,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000006,unplanned,vehicle_breakdown,12.9328703,77.4879814,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",,,Non-corridor,Low,2024-01-30 07:26:26.739+00,closed,1.1353485130384706,0.3204625,0.7845580187022241,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000007,unplanned,others,12.973175,77.6003961,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,,Non-corridor,Low,2024-01-30 06:05:59.339+00,closed,0.46239098857784044,0.104087934,5.604755850601066,LOW,2,0,0,60,🕐 Plan for sustained deployment (~5.6 hrs). Schedule shift rotation.
FKID000008,planned,public_event,12.97883573,77.59953728,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",,QueensStatueCircle,CBD 2,High,2024-02-12 02:05:46+00,closed,0.4504740459393308,0.039657958,1.0954974076341761,LOW,2,0,0,60,📢 Coordinate with event organizers for procession path and timing. | 📋 Pre-deploy resources 2 hours before event start.
FKID000009,unplanned,vehicle_breakdown,13.0373543,77.6540442,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",,,Non-corridor,Low,2024-01-30 05:25:50.078+00,closed,0.30701794107524516,0.08429609,0.6846642947015077,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000010,unplanned,water_logging,13.0008457,77.6813712,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,,ORR East 2,High,2024-03-07 18:01:40.182+00,closed,0.6691887582588205,0.007224353,23.937344204800524,LOW,5,0,0,60,🕐 Plan for sustained deployment (~23.9 hrs). Schedule shift rotation.
FKID000011,unplanned,vehicle_breakdown,12.94457,77.5274017,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",,MysoreRd-RingRdJunc(Nayandanahallii),ORR West 1,High,2024-01-30 05:21:06.975+00,closed,0.6042051128531454,0.06290383,0.9452413035855843,LOW,2,0,0,60,✅ Monitor situation. Standard patrolling protocol.
FKID000012,unplanned,water_logging,12.9995223,77.6827499,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,,ORR East 2,High,2024-03-07 18:00:05.02+00,active,0.6595029770384051,0.007685891,23.291563407579023,LOW,5,0,0,60,🕐 Plan for sustained deployment (~23.3 hrs). Schedule shift rotation.
FKID000013,unplanned,others,13.0418933,77.594705,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",North Zone 1,HebbalFlyoverJunc,ORR North 1,High,2023-12-26 19:15:28.124+00,closed,0.9983961757979782,0.10547981,11.09810500463981,LOW,5,0,0,60,🕐 Plan for sustained deployment (~11.1 hrs). Schedule shift rotation.
FKID000014,unplanned,pot_holes,12.975285,77.6256902,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",,,Old Madras Road,High,2024-03-07 19:26:15.604+00,active,0.8013103158383873,0.0089250645,31.147005181138333,LOW,5,0,0,60,🕐 Plan for sustained deployment (~31.1 hrs). Schedule shift rotation.
FKID000015,unplanned,others,13.0633917,77.5933483,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,,Bellary Road 2,High,2024-03-07 19:10:21.93+00,active,1.0032334226945556,0.19318688,5.833105465227757,LOW,2,0,0,60,🕐 Plan for sustained deployment (~5.8 hrs). Schedule shift rotation.
FKID000016,unplanned,others,13.063425,77.5933,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,,Bellary Road 2,High,2024-03-07 19:11:15.565+00,active,1.0032334226945556,0.19318688,5.833105465227757,LOW,2,0,0,60,🕐 Plan for sustained deployment (~5.8 hrs). Schedule shift rotation.
FKID000017,unplanned,others,13.0254527,77.6417388,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",,,ORR North 1,High,2024-03-07 19:18:29.89+00,active,1.5805963960693998,0.36705294,4.052065255566563,LOW,2,0,0,60,🕐 Plan for sustained deployment (~4.1 hrs). Schedule shift rotation.
FKID000018,unplanned,tree_fall,12.9233517,77.5904883,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,,Non-corridor,Low,2024-03-07 19:39:29.764+00,closed,2.903109050711742,0.75507253,14.877440641082531,MEDIUM,10,18,1,30,🚧 Pre-position barricades at both ends of affected corridor. | 🕐 Plan for sustained deployment (~14.9 hrs). Schedule shift rotation.
